index,Регион,Child_mortality_rural,Child_mortality_urban,Disabled_18_30,Disabled_31_60,Disabled_61_,Disabled_total,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Welfare,Cash_income,Socdem_deti,Socdem_pens,Socdem_trud,Housing_live,Population,GRP,Reg_prod_manufactor,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Newborn,Сrimes_drug,Сrimes_total
34,Волгоградская область,80.27,176.5,56845.32,447658.41,843968.91,1381196.09,2589.84,4017.16,48317.08,16.45,18.6,22899.0,39.42,6.22,54.3,17.9,2591851.68,202620.32,618990334.14,42309047.13,1210650939.86,91871.14,105.92,12.39,22733.13,4671.27,12842.64
35,Ростовская область,162.36,260.55,81272.59,698892.82,1056028.27,1868917.14,2588.5,3884.47,55632.26,17.39,18.66,28582.5,40.38,4.93,54.7,18.2,4282050.41,192274.56,628492669.62,24767142.1,1322816980.44,125862.91,91.89,10.54,35811.35,4743.14,15054.91
36,Город Севастополь,31.84,64.64,40436.82,306981.86,584379.41,964521.55,2585.9300000000003,2262.82,10939.61,18.12,15.6,26865.83,40.92,4.9,53.82,13.7,942714.64,90104.0,11930451.44,457727.27,33320316.38,88431.73,116.91,13.04,4776.95,3125.05,8165.41
37,Республика Дагестан,351.95,260.14,137880.05,779154.45,769385.77,1719143.73,2565.64,3914.45,56744.100000000006,22.5,19.0,26623.33,39.9,6.52,53.55,22.5,2869845.91,127962.83,32776044.28,3930094.78,88673195.1,110395.18,71.54,12.92,39772.85,3178.14,9335.36
38,Республика Ингушетия,59.73,76.55,56149.09,384191.86,586875.23,1059939.64,2573.65,3702.0,48379.78,40.97,19.15,16064.17,39.8,9.25,50.92,27.8,454390.77,85174.95,1846800.19,986570.82,6804462.22,27395.95,58.01,6.98,9785.45,2983.45,7737.18
39,Кабардино-Балкарская Республика,48.23,47.32,48692.0,359477.32,623476.45,1064369.23,2577.68,3844.17,30333.07,24.42,18.37,20569.67,35.33,10.98,53.72,18.9,868742.91,116135.01,27859624.12,243014.63,58600810.81,84027.45,94.95,15.82,11856.82,3127.59,8609.09
40,Карачаево-Черкесская Республика,31.0,24.77,48624.05,358120.0,608323.86,1047791.36,2594.74,3855.93,39546.47,26.21,17.8,18200.17,34.93,9.2,55.88,18.3,462010.05,115955.78,25158562.81,2156742.9,56719917.65,54332.36,84.98,14.58,7451.08,3139.23,8338.64
41,Республика Северная Осетия-Алания,30.68,48.77,46399.86,353471.41,648055.91,1080650.64,2580.68,1623.43,33396.7,17.52,17.95,23077.5,34.7,9.4,55.92,16.4,705058.27,135904.27,18925403.73,539575.07,43768447.33,88782.23,86.92,9.24,10291.82,3439.36,9322.27
42,Ставропольский край,127.55,159.36,63727.73,505770.77,876811.05,1479033.0,2582.63,3810.68,39456.65,21.38,19.12,22733.17,39.1,4.47,56.4,19.0,2773840.32,155469.92,218563875.56,8977820.22,494173192.83,106453.32,81.12,12.82,26659.63,3860.14,11823.14
43,Республика Башкортостан,182.41,244.55,69455.55,502649.18,990089.95,1594918.14,2579.21,1560.82,46890.36,15.01,17.25,28903.33,40.1,5.5,54.42,17.4,4065846.32,230021.06,954765509.7,196916826.4,2084473913.24,128387.86,105.66,9.64,41104.62,6868.18,17390.55
44,Республика Марий Эл,30.05,35.41,45693.09,340587.73,660402.27,1079406.55,2579.36,1582.17,46000.3,30.03,17.76,19778.33,35.42,4.95,59.65,16.5,699151.18,155698.9,112827803.54,522363.57,212263529.38,71105.27,120.51,7.8,9474.18,3428.91,8896.45
