Регион,Child_mortality_rural,Disabled_31_60,Disabled_61_,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Cash_income,Socdem_pens,Socdem_trud,GRP,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Сrimes_total
Саратовская область,63.82,420781.09,770487.18,2585.79,1559.67,39519.71,21.29,21397.5,5.6,55.0,178970.66,26588168.66,690822187.72,84509.59,106.31,8.48,12180.86
Республика Хакасия,34.59,316645.05,592793.86,2586.15,1544.83,44389.54,22.3,21181.5,4.6,55.78,228057.3,44543768.16,267082783.92,86272.36,118.41,14.1,9975.41
Курганская область,49.77,352098.27,677039.55,2580.74,1865.79,46579.18,24.81,20773.83,4.02,56.47,154689.75,2550657.02,178257060.12,82368.91,126.18,19.95,11100.64
Кабардино-Балкарская Республика,48.23,359477.32,623476.45,2577.68,1912.45,30333.07,24.42,20569.67,10.98,53.72,116135.01,243014.63,58600810.81,84027.45,94.95,15.82,8609.09
Республика Крым,50.43,435974.59,725214.36,2585.9300000000003,1912.45,29806.02,20.23,20024.17,5.25,50.87,83488.91,9973376.28,193956605.9,84756.5,114.47,11.91,10442.55
Республика Марий Эл,30.05,340587.73,660402.27,2579.36,1582.17,46000.3,30.03,19778.33,4.95,59.65,155698.9,522363.57,212263529.38,71105.27,120.51,7.8,8896.45
Республика Алтай,36.09,308611.59,586044.27,2576.36,1526.64,47124.11,29.44,19304.17,3.9,50.7,142047.45,1360154.88,11772250.22,68047.5,119.3,8.51,8720.64
Чувашская Республика,35.91,359311.45,681043.32,2580.73,1712.21,52391.01,23.28,18919.67,5.7,61.42,154071.15,634237.67,302748079.6,72901.5,126.21,5.67,10139.36
Республика Мордовия,18.55,350840.23,668641.0,2589.01,1707.55,38275.01,25.12,18784.17,6.8,58.1,165862.43,130046.71,266808394.02,64560.82,124.3,8.4,9239.0
Карачаево-Черкесская Республика,31.0,358120.0,608323.86,2594.74,1912.45,39546.47,26.21,18200.17,9.2,55.88,115955.78,2156742.9,56719917.65,54332.36,84.98,14.58,8338.64
Республика Калмыкия,19.27,312685.09,579085.05,2573.97,1912.45,48491.3,30.03,17105.67,1.95,46.03,145648.68,1388639.78,6992547.88,42670.09,97.53,10.31,8158.0
Республика Тыва,59.68,321140.55,568439.0,2573.65,1446.22,33731.95,30.03,16124.17,4.4,49.92,125327.31,13324897.93,31868393.05,43275.55,100.51,10.85,9025.59
Республика Ингушетия,59.73,384191.86,586875.23,2573.65,1912.45,48379.78,30.03,16064.17,9.25,50.92,85174.95,986570.82,6804462.22,42670.09,65.81,6.98,7737.18
